a,sigma,k,u_hat,delta,outcome
0.237755102,0.01,0.2,0.4,0.0006,increase
0.237755102,0.01,0.2,0.4,0.0006,increase
0.237755102,0.01,0.2,0.4,0.0006,increase
0.237755102,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.254693878,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
0.271632653,0.01,0.2,0.4,0.0006,increase
